weight_path,method_name,sparsity,descriptor_dim,flops,model_memory,extraction_lat_cpu_bs1,extraction_lat_gpu_bs1,MapillarySLS_R1,MapillarySLS_R5,MapillarySLS_R10,MapillarySLS_map_memory,MapillarySLS_total_memory,MapillarySLS_matching_lat,MapillarySLS_total_cpu_lat_bs1,MapillarySLS_total_gpu_lat_bs1,Pitts30k_Val_R1,Pitts30k_Val_R5,Pitts30k_Val_R10,Pitts30k_Val_map_memory,Pitts30k_Val_total_memory,Pitts30k_Val_matching_lat,Pitts30k_Val_total_cpu_lat_bs1,Pitts30k_Val_total_gpu_lat_bs1,AmsterTime_R1,AmsterTime_R5,AmsterTime_R10,AmsterTime_map_memory,AmsterTime_total_memory,AmsterTime_matching_lat,AmsterTime_total_cpu_lat_bs1,AmsterTime_total_gpu_lat_bs1,SVOX_R1,SVOX_R5,SVOX_R10,SVOX_map_memory,SVOX_total_memory,SVOX_matching_lat,SVOX_total_cpu_lat_bs1,SVOX_total_gpu_lat_bs1
ResNet34_GeM_agg_0.25_sparsity_0.076_R1_0.915.ckpt,ResNet34_GeM,0.076,,7510196224.0,85.20239639282227,324.51666593551636,44.10066604614258,,,,,,16.913819313049316,387.0064854621887,62.43319511413574,,,,,,8.489131927490234,331.66297674179077,52.9460072517395,,,,,,0.99639892578125,324.60747957229614,44.53868865966797,,,,,,14.812493324279783,339.32915925979614,58.91315937042236
ResNet34_GeM_agg_0.25_sparsity_0.149_R1_0.912.ckpt,ResNet34_GeM,0.149,,7510196224.0,85.20239639282227,305.46791553497314,36.81901693344116,,,,,,15.40203094482422,387.81641721725464,52.69519090652466,,,,,,8.079910278320312,313.20725679397583,45.297980308532715,,,,,,1.0643720626831057,306.94971084594727,38.33968639373779,,,,,,14.00458812713623,319.4725036621094,50.82360506057739
ResNet34_GeM_agg_0.25_sparsity_0.219_R1_0.912.ckpt,ResNet34_GeM,0.219,,7510196224.0,85.20239639282227,287.652325630188,36.579203605651855,,,,,,14.869046211242676,376.7704844474793,52.30895280838013,,,,,,7.584500312805176,295.57405710220337,42.67631769180298,,,,,,2.0019054412841797,289.9759531021118,36.993229389190674,,,,,,13.38813304901123,301.0404586791992,49.967336654663086
ResNet34_GeM_agg_0.25_sparsity_0.286_R1_0.909.ckpt,ResNet34_GeM,0.286,,7510196224.0,85.20239639282227,270.49251794815063,34.91816520690918,,,,,,13.752222061157228,350.7079601287842,47.76806831359863,,,,,,7.049775123596191,276.5486240386963,41.98335409164429,,,,,,0.8672237396240234,270.7729935646057,37.03125715255737,,,,,,12.428855895996094,282.92137384414673,47.34702110290527
ResNet34_GeM_agg_0.25_sparsity_0.350_R1_0.902.ckpt,ResNet34_GeM,0.35,,7510196224.0,85.20239639282227,253.96872758865356,33.76249074935913,,,,,,13.123416900634766,350.50147771835327,46.792805194854736,,,,,,6.8642377853393555,260.545289516449,40.58881998062134,,,,,,0.9691953659057616,255.99757432937625,36.554133892059326,,,,,,11.66245937347412,265.6311869621277,45.42495012283325
ResNet34_GeM_agg_0.25_sparsity_0.411_R1_0.908.ckpt,ResNet34_GeM,0.411,,7510196224.0,85.20239639282227,238.98414373397827,34.44696664810181,,,,,,12.062525749206545,339.7176265716553,45.8556056022644,,,,,,6.655383110046387,245.37794589996335,40.72699546813965,,,,,,0.8615732192993164,240.2735948562622,34.81600284576416,,,,,,10.753917694091797,249.73806142807007,45.2008843421936
ResNet34_GeM_agg_0.25_sparsity_0.469_R1_0.899.ckpt,ResNet34_GeM,0.469,,7510196224.0,85.20239639282227,223.99672269821167,30.52682876586914,,,,,,11.15710735321045,322.69238233566284,42.86893606185913,,,,,,6.041169166564941,229.58474159240723,37.17879056930542,,,,,,0.795745849609375,224.56566095352173,31.65515661239624,,,,,,10.00068187713623,233.9974045753479,40.52751064300537
ResNet34_GeM_agg_0.25_sparsity_0.522_R1_0.892.ckpt,ResNet34_GeM,0.522,,7510196224.0,85.20239639282227,209.22805070877075,29.643166065216064,,,,,,10.126090049743652,300.8954644203186,39.46009874343872,,,,,,5.607271194458008,214.9134397506714,35.288333892822266,,,,,,0.7300138473510742,209.36909914016724,30.98540306091309,,,,,,9.191274642944336,218.4193253517151,38.8344407081604
ResNet34_GeM_agg_0.25_sparsity_0.574_R1_0.888.ckpt,ResNet34_GeM,0.574,,7510196224.0,85.20239639282227,196.76353931427,27.588415145874023,,,,,,9.417366981506348,290.5689239501953,37.447988986968994,,,,,,5.139708518981934,202.2216796875,32.64516592025757,,,,,,0.646519660949707,196.72931432724,28.45127582550049,,,,,,8.637666702270508,205.40120601654053,36.22608184814453
ResNet34_GeM_agg_0.25_sparsity_0.623_R1_0.882.ckpt,ResNet34_GeM,0.623,,7510196224.0,85.20239639282227,183.37410688400269,26.5336275100708,,,,,,8.43801498413086,278.52245569229126,34.831202030181885,,,,,,4.380130767822266,187.93933391571045,31.241166591644287,,,,,,0.6331443786621094,184.5417857170105,27.019596099853516,,,,,,7.781100273132324,191.155207157135,34.314727783203125
