weight_path,method_name,sparsity,descriptor_dim,flops,model_memory,extraction_lat_cpu_bs1,extraction_lat_gpu_bs1,Pitts30k_Val_R1,Pitts30k_Val_R5,Pitts30k_Val_R10,Pitts30k_Val_map_memory,Pitts30k_Val_total_memory,Pitts30k_Val_matching_lat,Pitts30k_Val_total_cpu_lat_bs1,Pitts30k_Val_total_gpu_lat_bs1,AmsterTime_R1,AmsterTime_R5,AmsterTime_R10,AmsterTime_map_memory,AmsterTime_total_memory,AmsterTime_matching_lat,AmsterTime_total_cpu_lat_bs1,AmsterTime_total_gpu_lat_bs1
ResNet34_ConvAP_agg_0.50_sparsity_0.104_R1_0.925.ckpt,ResNet34_ConvAP,0.104,,7561830400.0,83.198486328125,316.80028438568115,44.32538747787475,,,,,,16.539669036865234,387.4572515487671,61.11797094345093,,,,,,2.5797367095947266,319.3800210952759,46.90512418746948
ResNet34_ConvAP_agg_0.50_sparsity_0.135_R1_0.925.ckpt,ResNet34_ConvAP,0.135,,7561830400.0,83.198486328125,307.7313780784607,41.80474281311035,,,,,,15.80040454864502,389.6214723587036,58.65706205368042,,,,,,1.4570951461791992,309.1884732246399,43.26183795928955
ResNet34_ConvAP_agg_0.50_sparsity_0.169_R1_0.925.ckpt,ResNet34_ConvAP,0.169,,7561830400.0,83.198486328125,298.80887269973755,38.82763385772705,,,,,,15.175008773803713,373.0724334716797,53.96926403045654,,,,,,2.090382575988769,300.8992552757263,40.91801643371582
ResNet34_ConvAP_agg_0.50_sparsity_0.198_R1_0.922.ckpt,ResNet34_ConvAP,0.198,,7561830400.0,83.198486328125,291.9790983200073,37.77315616607666,,,,,,14.502644538879396,365.1033878326416,51.99272632598877,,,,,,2.607846260070801,294.5869445800781,40.38100242614746
ResNet34_ConvAP_agg_0.50_sparsity_0.227_R1_0.917.ckpt,ResNet34_ConvAP,0.227,,7561830400.0,83.198486328125,284.70765352249146,37.14022636413574,,,,,,13.881945610046388,353.4737229347229,51.02357864379883,,,,,,1.9068241119384768,286.61447763442993,39.04705047607422
ResNet34_ConvAP_agg_0.50_sparsity_0.259_R1_0.920.ckpt,ResNet34_ConvAP,0.259,,7561830400.0,83.198486328125,276.78219079971313,32.99238681793213,,,,,,13.24462890625,363.333785533905,46.43062353134155,,,,,,1.5503644943237305,278.33255529403687,34.54275131225586
ResNet34_ConvAP_agg_0.50_sparsity_0.287_R1_0.916.ckpt,ResNet34_ConvAP,0.287,,7561830400.0,83.198486328125,268.83941888809204,32.695937156677246,,,,,,12.75649070739746,353.2564043998718,45.39796113967896,,,,,,1.504349708557129,270.3437685966492,34.200286865234375
ResNet34_ConvAP_agg_0.50_sparsity_0.318_R1_0.917.ckpt,ResNet34_ConvAP,0.318,,7561830400.0,83.198486328125,261.6254925727844,34.83802080154419,,,,,,12.11566925048828,334.0995192527771,47.53233194351196,,,,,,1.372981071472168,262.9984736442566,36.21100187301636
ResNet34_ConvAP_agg_0.50_sparsity_0.346_R1_0.914.ckpt,ResNet34_ConvAP,0.346,,7561830400.0,83.198486328125,254.1741847991943,33.332788944244385,,,,,,11.396408081054688,328.59275341033936,44.786787033081055,,,,,,1.295757293701172,255.4699420928955,34.62854623794556
ResNet34_ConvAP_agg_0.50_sparsity_0.371_R1_0.917.ckpt,ResNet34_ConvAP,0.371,,7561830400.0,83.198486328125,249.05284643173212,32.62789249420166,,,,,,10.777783393859863,336.4385843276977,43.41896772384644,,,,,,1.492142677307129,250.5449891090393,34.12003517150879
